Date,Latitude,Longitude,Temperature_C
12-04-2025,24.5,82.5,37.51067
12-04-2025,24.5,83.5,36.68889
12-04-2025,24.5,84.5,35.7941
13-04-2025,17.5,80.5,38.15663
13-04-2025,17.5,81.5,36.37391
13-04-2025,17.5,82.5,35.059353
13-04-2025,17.5,83.5,35.108288
13-04-2025,17.5,84.5,
13-04-2025,18.5,80.5,38.72076
13-04-2025,18.5,81.5,37.080696
13-04-2025,18.5,82.5,36.354725
13-04-2025,18.5,83.5,36.044746
13-04-2025,18.5,84.5,35.79051
13-04-2025,19.5,80.5,39.76278
13-04-2025,19.5,81.5,39.476765
13-04-2025,19.5,82.5,37.269783
13-04-2025,19.5,83.5,37.238537
13-04-2025,19.5,84.5,37.307457
13-04-2025,20.5,80.5,40.08379
13-04-2025,20.5,81.5,38.891014
13-04-2025,20.5,82.5,39.612522
13-04-2025,20.5,83.5,39.11027
13-04-2025,20.5,84.5,37.62547
13-04-2025,21.5,80.5,38.414642
13-04-2025,21.5,81.5,38.29619
13-04-2025,21.5,82.5,38.23986
13-04-2025,21.5,83.5,38.453926
13-04-2025,21.5,84.5,37.59869
13-04-2025,22.5,80.5,36.815113
13-04-2025,22.5,81.5,37.566
13-04-2025,22.5,82.5,36.548927
13-04-2025,22.5,83.5,35.938484
13-04-2025,22.5,84.5,35.201385
13-04-2025,23.5,80.5,35.623623
13-04-2025,23.5,81.5,34.636665
13-04-2025,23.5,82.5,35.57351
13-04-2025,23.5,83.5,34.59861
13-04-2025,23.5,84.5,33.78904
13-04-2025,24.5,80.5,35.839966
13-04-2025,24.5,81.5,35.5326
13-04-2025,24.5,82.5,33.82031
13-04-2025,24.5,83.5,32.90163
13-04-2025,24.5,84.5,32.613506
14-04-2025,17.5,80.5,37.057434
14-04-2025,17.5,81.5,35.802372
14-04-2025,17.5,82.5,34.52602
14-04-2025,17.5,83.5,34.69708
14-04-2025,17.5,84.5,
14-04-2025,18.5,80.5,37.81968
14-04-2025,18.5,81.5,36.720737
14-04-2025,18.5,82.5,35.88046
14-04-2025,18.5,83.5,35.82745
14-04-2025,18.5,84.5,35.58464
14-04-2025,19.5,80.5,38.98416
14-04-2025,19.5,81.5,39.344166
14-04-2025,19.5,82.5,37.224686
14-04-2025,19.5,83.5,37.069447
14-04-2025,19.5,84.5,36.97125
14-04-2025,20.5,80.5,39.67195
14-04-2025,20.5,81.5,38.591347
14-04-2025,20.5,82.5,40.02319
14-04-2025,20.5,83.5,39.178257
14-04-2025,20.5,84.5,37.241962
14-04-2025,21.5,80.5,38.308933
14-04-2025,21.5,81.5,38.556602
14-04-2025,21.5,82.5,38.299084
14-04-2025,21.5,83.5,38.216362
14-04-2025,21.5,84.5,37.0685
14-04-2025,22.5,80.5,37.49778
14-04-2025,22.5,81.5,38.102272
14-04-2025,22.5,82.5,37.060658
14-04-2025,22.5,83.5,36.791058
14-04-2025,22.5,84.5,35.333656
14-04-2025,23.5,80.5,36.834095
14-04-2025,23.5,81.5,35.328274
14-04-2025,23.5,82.5,36.264065
14-04-2025,23.5,83.5,35.7345
14-04-2025,23.5,84.5,34.649307
14-04-2025,24.5,80.5,36.93572
14-04-2025,24.5,81.5,36.587715
14-04-2025,24.5,82.5,35.41172
14-04-2025,24.5,83.5,34.977707
14-04-2025,24.5,84.5,34.8194
15-04-2025,17.5,80.5,37.28368
15-04-2025,17.5,81.5,35.408024
15-04-2025,17.5,82.5,33.9471
15-04-2025,17.5,83.5,33.746365
15-04-2025,17.5,84.5,
15-04-2025,18.5,80.5,38.22954
15-04-2025,18.5,81.5,36.077854
15-04-2025,18.5,82.5,35.163807
15-04-2025,18.5,83.5,34.79614
15-04-2025,18.5,84.5,34.508537
15-04-2025,19.5,80.5,39.729458
15-04-2025,19.5,81.5,38.954655
15-04-2025,19.5,82.5,36.19596
15-04-2025,19.5,83.5,36.11287
15-04-2025,19.5,84.5,35.890503
15-04-2025,20.5,80.5,40.01299
15-04-2025,20.5,81.5,38.362465
15-04-2025,20.5,82.5,38.71895
15-04-2025,20.5,83.5,38.180992
